भारतीय क्रिकेट टीम के	बनाने का लक्ष्य रखा गया था	364 रन
भारत	निर्णय लिया	ने ब्रिटिश कॉमनवेल्थ में रहने का
सुभाष चन्द्र बोस	स्थापना की	ने फॉरवर्ड ब्लॉक कांग्रेस अध्यक्ष सुभाष चन्द्र बोस पार्टी की
परमहंस योगानन्द	का जन्म	भारत के गोरखपुर में मुकुंद लाल घोष के रूप में
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	कोशिश	जर्मन और इटालियन दूतावासों में प्रवेश पाने की
द वॉशिंगटन पोस्ट	प्रयोग होता है	में काले और सफेद दोनों रंग में मुद्रित तस्वीरों का
स्वामी विवेकानन्द	आते रहते थे	घर
एडोल्फ़ हिटलर	निकालने की घोषणा की	यहुदियों को स्वाभिमानी जर्मन राष्ट्र से
टीपू सुल्तान	मृत्यू के बाद	कर्नाटक अंग्रेजों के हाथ आ गया
नील एल्डन आर्मस्ट्रांग	कार्य किया	आठ वर्ष अध्यापन
कबड्डी	है	बांग्लादेश का राष्ट्रीय खेल
गर्भपात	होने वाले	अमेरिका में
निर्मला सीतारामन्	हैं	प्रणव स्कूल के संस्थापकों में से एक
शेडोंग गुफा	है	वियतनाम के प्रांत में एक गुफा
विश्वनाथन आनंद	जीता है	ने शतरंज ऑस्कर ६ बार
अब्राहम लिंकन	ने	संयुक्त राज्य अमेरिका को बचाए रखने का प्रयास किया
लीबिया	निवास करती है	त्रिपोली में
विराट कोहली	बन गया	टेस्ट कप्तान की शुरुआत में शतक लगाने वाला चौथा भारतीय
ब्राजील	जीता है	पांच बार
अब्राहम लिंकन	हत्या	कर दी गई
सुभाष चन्द्र बोस	ने	जर्मन और इटालियन दूतावासों में प्रवेश पाने की कोशिश की
मेजबान ऑस्ट्रेलिया	रहा	58 के साथ चौथे स्थान पर
भारतीय जनता पार्टी	बनकर उभरी	सबसे बड़ी पार्टी
मुसलमान	छोड़ कर न जाएं	भारतीय राष्ट्रीय कांग्रेस को
दक्षिणपूर्व अलास्का	बनाने के लिए कई आंदोलन हुए	को सन्निहित संयुक्त राज्य का एक राज्य
विराट कोहली	जन्म	5 नवम्बर 1988 एक उदासीन सन् 2008 सीजन
भारत देश	भी है	दो मुख्य भाषा-सूत्रों का स्रोत
गौतम बुद्ध	सिखाता हूं	केवल एक ही पदार्थ
भारत	भाग लिया है	शीतकालीन ओलम्पिक खेलों में
मित्रता	कायम रही	सीरिया के सम्राट् से राज्य राजत्व काल में
नेल्सन रोलीह्लला मंडेला	निर्माण किया	नये दक्षिण अफ्रीका का
जयप्रकाश नारायण गाँधी	लाया गया	अखिल भारतीय आयुर्विज्ञान संस्थान में
विषाणु	नामक	SARS‐CoV‐2
पैराग्वे की	विभाजित किया गया है	को दो विभेदित भौगोलिक क्षेत्रों में
टीपू सुल्तान	राज्य किया	ने मैसूर राज्य पर 1799 ई० तक
एडोल्फ़ हिटलर	आमंत्रित किया गया	बढ़ते हुए प्रभाव को देखकर
द वॉशिंगटन पोस्ट	का	राष्ट्रीय राजनीति पर एक विशेष महत्त्व
भारत देश	किया था	ने भारत देश पहला परमाणु परीक्षण
सुभाष चन्द्र बोस	हुआ	को फिर से कारावास
एक महान इटालियन व्यक्ति	जाकर बसे	ऑस्ट्रेलिया
कोपनहेगन	हो गया था	अत्यंत क्षतिग्रस्त
गौतम बुद्ध	उपदेश दिया	मगधराज बिंबिसार को धर्म का
अर्देशिर ईरानी	रिलीज़ की	ने पहली भारतीय बोलती फिल्म
भारत देश	संयोग किया है	एक "पूर्व की ओर देखो नीति में
बीमा	नहीं मिलता था	प्रव्याजि अदा करने के लिए अतिरिक्त समय
विषाणु	पाया गया	रूस, मंगोलिया और चीन में
पोम्पेइ नगर	खोदना	दो तिहाई की खोदना की है
श्री कृष्ण	की पूजा	का विधान
भारत का संविधान	फेरबदल होता रहा है	समय-समय पर
ओसामा बिन लादेन	बनाया	ने लंदन श्रेणी:इस्लामी आतंकवा
स्काइपकास्ट्स	बन गया है	सबसे बड़ा अंतर्राष्ट्रीय वॉइस वाहक
सारनाथ के सिंह स्तंभ वाले धर्मचक्र अनुकृति अशोक चक्र	हैं	२४ अरे
अमरूद	का प्रसारण किया जाता है	अधिकतर बीज द्वारा
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	सम्हाला	ने छात्रों का नेतृत्व
राधिका आप्टे	शादी की है	लंदन के संगीतकार बेनेडिक्ट टेलर से
भारत	भेजा	भारत पहला एथलीट
एडोल्फ़ हिटलर	बुलंद किया	ने साम्यवादियों के खिलाफ नारा
जयप्रकाश नारायण गाँधी	निभा रहीं थीं	पिता के कर्मचारियों के प्रमुख की भूमिका
लड़ाई	प्रयास कर रहा था	विनाशकारी युद्ध भारत से उबरने का
भारत देश	है	भौगोलिक दृष्टि से शेष विश्व का सातवाँ सबसे बड़ा देश
मुसलमान	मानते	हैं कि देवदूतों के अस्तित्व को मानते हैं
इस कदम	भेज दी	ने पूरे भारत में सदमे की लहर
लीबिया	आधिकारिक	तौर पर'महान समाजवादी जनवादी लिबियाई अरब जम्हूरिया
अशोक चक्र	का रंग	गहरा नीला
जोज़ेफ़ प्रीस्टलि	छोड़ दिया	ने लार्ड शेलबर्न का साथ
युद्ध	आवश्यक था	लिए सभी जर्मन वासियों का सहयोग
टीपू सुल्तान	जीता था	अंग्रेजो के विरुद्ध पहला युद्ध
विक्टोरिया जलप्रपात	हो जाता है	देख पाना तक मुश्किल
संयुक्त राज्य अमेरिका	बना रहेगा	पूर्ववत
नमाज़	पढ़ी जाती है	मक्का में स्थित काबा की ओर मुँह करने के
चीन	रोकने का मौक था	पास कोशिश को
एक शहर	नहीं है	अकेले आकार से ही अलग
विराट कोहली	बने	सचिन तेंदुलकर के बाद सातवें भारतीय बल्लेबाज
कांग्रेस अध्यक्ष सुभाष चन्द्र बोस	था	अध्यक्षीय कार्यकाल में इस ओर कदम उठाना शुरू कर दिया
चीन	रोक नही पाए	जापान को
पश्चिमी पाकिस्तान	कब्जाने का प्रयास किया	फिर से मुस्लिम बहुल भारतीय कश्मीर को
अंतरिक्ष शोध यान	बनाया गया	मावेन मंगल ग्रह के परिवेश का अध्ययन के लिए
शिक्षा	होगी	कम से कम प्रारम्भिक और बुनियादी अवस्थाओं में निःशुल्क
जीन-जोसेफ सैनफोरचे	बनाए रखा	ने एक पत्राचार
लिन डान	भी हैं	पहले पुरुष बैडमिंटन खिलाडी
गौतम बुद्ध	को कहीं	परम ज्ञान न मिला
विराट कोहली	जमाए	ने सभी तीन टी 20 आई में अर्धशतक
शिशु कृष्ण	दिखाया जाता है	शिशु कृष्ण मित्र सुदामा के साथ
केंद्र शासित प्रदेश दमन की राजधानी	है	दमन
जुज़ॅप्पे गारिबाल्दि	लौटा।	फिर इटली
नील एल्डन आर्मस्ट्रांग	हुए	काफ़ी अवसादग्रस्त
खतना	है	लैटिन भाषा का शब्द
विराट कोहली	चुना गया था	को शिखर धवन के प्रतिस्थापन के रूप में
गारीबाल्दी	भागना पड़ा	दक्षिणी अफ्रीका
पोम्पेइ नगर	स्थापित हुआ था	छठी य सातवी शताब्दी में
नवाज़ुद्दीन सिद्दीकी	ने	गोरेगांव के अपार्टमेंट में रहने की अनुमति मांगनी पड़ी
गौतम बुद्ध	छोड़कर	पत्नी और नवजात को
बीमा	है	व्यवसाय के सफल संचालन के लिए अपरिहार्य
जीवाणु	उत्पन्न करने वाले	एसिटिक अम्ल
अल्बानिया गणराज्य	का	क्षेत्रफल २८,७४८ वर्ग किलोमीटर है
नेल्सन रोलीह्लला मंडेला	विरोध करने के प्रतीक बन गए	रंगभेद का
संयुक्त राष्ट्र के स्थापना का एक सदस्य देश	प्राप्त किया	ने नीतियों को कार्यान्वित करने के लिए शक्ति
फ़िजी	था	एक अंग्रेजी उपनिवेश
शिशु कृष्ण	बजाते हैं	रासलीला बांसुरी
एडोल्फ़ हिटलर	भी	लोकतंत्र का आलोचक
अहमदी अहमदी	मानते हैं	मुसलमान
नील एल्डन आर्मस्ट्रांग	ले लिया	अपोलो लूनर मॉड्यूल नियंत्रण नील एल्डन आर्मस्ट्रांग हाथों में
पोटासियम ब्रोमाइड	है	एक अकार्बनिक यौगिक
मतदान	हुए	गुजरात की सभी २६ सीटों के लिए
सुभाष चन्द्र बोस	को फिर	से कारावास हुआ
शिशु कृष्ण	को	जगतगुरु का सम्मान दिया जाता है
अगरतला	हैं	भारत के त्रिपुरा प्रान्त की राजधानी में कुछ फलते-फूलते बाजार
विराट कोहली	में सुधार नहीं हुआ है	में २०१५ क्रिकेट विश्व कप के
पोम्पेइ नगर	खोदना की है	दो तिहाई की
नील एल्डन आर्मस्ट्रांग	गुजरे	बाईपास सर्जरी से
द वॉशिंगटन पोस्ट	प्रकाशित किया जाता है	व्यापकपर्ण के स्वरूप में
टीपू सुल्तान	ज्ञाता थे	अनेक भाषाओं का
विक्टोरिया जलप्रपात	दूसरे	नम्बर पर
जॉन ऐडम्स	के सदस्य	स्वतंत्रता की घोषणा करनेवाली समिति के भी सदस्य थे
निअंडरथल मानव	रहता था	पश्चिम यूरोप, पश्चिम एशिया तथा अफ्रीका में
कोका कोला	है	कोका कोला कम्पनी का उत्पाद
सांसद	कहते हैं	पर "रिक्स्दाग्दामोट" या "रिक्स्दाग्स्मन
भारत	ने	प्रगत नीति का पालन करना शुरु कर दिया
बीमा	सिद्ध होता है	जन्म से ले कर मृत्यु तक सहायक
सुभाष चन्द्र बोस	में कांग्रेस अध्यक्ष हैं	मद्रास
पगड़ी	बांधा	जाने वाला परिधान या पहनावा
सुभाष चन्द्र बोस	आया।	अत्यधिक प्रचलन में
डेलावेयर ( ) संयुक्त राज्य अमेरिका का एक राज्य	विभाजित	तीन काउंटियों में
एक भाषा	बोली जाती है	ईरान, ताजिकिस्तान, अफ़ग़ानिस्तान और उज़बेकिस्तान में
पोम्पेइ नगर	बन गया	एक रोमन कॉलोनी
गौतम बुद्ध	देकर धर्मचक्रप्रवर्तन किया	ने पंचवर्गीय भिक्षुओं को इस प्रथम उपदेश
विराट कोहली	तोड़ा	पिछले रिकॉर्ड ब्रायन लारा को
प्रोग्रामिंग भाषा	प्रयुक्त	मैक्रोमीडिया फ्लैश 1.0 द्वारा
पुलिस	सौंप देती है	एक अनपढ़ युवक की फिर से शो के संचालक को
सुभाष चन्द्र बोस	निकल	पड़े
जॉन ऐडम्स	थे	स्वतंत्रता की घोषणा करनेवाली समिति के सदस्य
जुज़ॅप्पे गारिबाल्दि	जोड़ा	गुप्त राष्ट्रवादी क्रन्तिकारी संगठन के साथ नाता
फ़िनलैंड	ने स्वतंत्रता की घोषणा की	रूस से गृहयुद्ध के बाद
शिशु कृष्ण	को	विष्णु का पूर्ण अवतार माना जाता है
एडोल्फ़ हिटलर	ने	आतंक का वातावरण पहले ही निर्मित कर दिया था
विराट कोहली	आए	बल्लेबाजी करने
जैन धर्म के	हैं	में अनेक शासन देवी-देवता
सती प्रथा	भी जोरों पर थी	उस समय में
जयप्रकाश नारायण गाँधी	बैठीं	विश्व-भारती विश्वविद्यालय ऑक्सफोर्ड विश्वविद्यालय की प्रवेश परीक्षा में
निअंडरथल मानव	का नाम	निअंडरथल मानव निअंडरथल मानव का नाम दिया गया है
हिन्दू धर्म	आधारित	भक्ति पर
चटनी	भी	खूब पसंद की जाती है
अरबी भाषा	है	हिन्द यूरोपीय परिवार की भाषाओं से मुख़्तलिफ़
एरॉन श्वार्ट्ज	कराने के पक्षधर थे	इंटरनेट व सूचना को मुफ्त उपलब्ध
टीपू सुल्तान	भेजे	ने विभिन्न देशों में टीपू सुल्तान राजदुत
बहरीन की	अनुभव किया	ने कुछ राजनीतिक अस्थिरता और हिंसा का
सोवियत रूस	दिया	ने चीन तो सोवियत रूस पूरा समर्थन
टीपू सुल्तान	ने	टीपू सुल्तान अंग्रेजो को पराजित कर दूर करना चाहते थे
फूलन देवी	ऑपरेशन किया गया	डिम्बग्रंथि अल्सर के लिए
आग	समायी हुई है	सभी वनस्पतियों में
मैत्रिपाला सिरिसेना आवुल पकिर जैनुलाब्दीन अब्दुल कलाम	का राष्ट्रपति है	श्रीलंका
वनस्पति विज्ञान	कहलाता	है कि वनस्पति विज्ञान'कहलाता है
मस्क़त	जुड़ा	हुआ है
एडोल्फ़ हिटलर	आत्महत्या कर ली	ने 30 अप्रैल 1945 को
नई फारसी	है	में छह स्वर और बाईस व्यंजन
एरॉन श्वार्ट्ज	चलाया	अमेरिकी सरकार स्टॉप ऑनलाइन पाइरेसी ऐक्ट के खिलाफ आंदोलन
शिशु कृष्ण	किए	बड़े-बड़े कार्य
पूर्व जम्मू और कश्मीर रियासत	हो गई	फिर स्वतंत्र
टीपू सुल्तान	मृत्यु हो गई	श्रीरंगपट्टम् के युद्ध में
जिंक ऑक्साइड	कहा	जाता है चीनी व्हाइट
कोपनहेगन	बसा हुआ है	जीलंड और अमागर द्वीपों पर
फूलन देवी	ने	फिल्म पूरे भारत में प्रतिबंधित करने के लिए संघर्ष किया
भारत देश	है	दो मुख्य भाषा-सूत्रों का स्रोत
लुडविग वान बीथोवेन	थे	सबसे प्रसिद्ध और प्रभावशाली संगीतकारों में से एक
मोहम्मद हामिद अंसारी	संभालेंगे	जगह श्री मान एम. वेंकैया नायडू
सुभाष चन्द्र बोस	ने	असहयोग आंदोलन का
बांग्लादेशी राष्ट्रवाद	समर्थित	भारत
औस्ट्रालोपिथेकस अफ़रेन्सिस	थे	दो प्राणी शाखों का पूर्वज
एडोल्फ़ हिटलर	असफल	रहे और जेलखाने में डाल दिए गए
नीरो	विवाह करना चाहता था	एक तीसरी स्त्री से
अरब सागर	मिलने के बाद	सिंधू नदी से
आधुनिक दिवस के शंघाई	था	शाब्दिक समुद्र पर
सुभाष चन्द्र बोस	बने	स्वतंत्र भारत की अस्थायी सरकार के राष्ट्रपति, प्रधानमन्त्री और युद्धमंत्री
आयशा	की पत्नी है	मुहम्मद सल्ललाहु अलैही व सल्लम
सुभाष चन्द्र बोस	जा रहे थे	मंचूरिया की तरफ
गुंटूर नगर की	है	में एक कृषि शोध केंद्र
बूबोनिक प्लेग	था	आज की तुलना में कई गुना अधिक घातक
सुभाष चन्द्र बोस	रहने वाले	माण्डले कारागृह में
स्काइपकास्ट्स	प्रयोग करता है	विभिन्न ऑडियो कंप्रेशन विधियों की एक सरणी का
कोलंबो	पहले	श्री लंका की राजधानी हुआ
नीरो	का वंशज था	प्रथम सम्राट् आगस्टस
जोज़ेफ़ प्रीस्टलि	छोड़	दी और नैटविच चले गए
एडोल्फ़ हिटलर	धारण की	राष्ट्र नायक की उपाधि
एरॉन श्वार्ट्ज	बांट दिया	ने 1.8 करोड़ पेज मुफ्त
पोम्पेइ नगर	बन गया है	एक अधुनिक शहर
भारत और पाकिस्तान के पंजाब क्षेत्र	है	बहुत विविध
चीन	अपील की	ने राष्ट्र संघ से मदद के लिए
मुज़फ्फरपुर	जुड़ा हुआ है	ट्रेन माध् यम से
मोहम्मद हामिद अंसारी	भी रहे	आस्ट्रेलिया में भारत के उच्चायुक्त
माइक्रोसॉफ्ट	बनाना चाहती थी	माइक्रोसॉफ्ट सभी डिवाइसेस तथा सॉफ्टवेयर्स के लिए एक Ecosystem
एडोल्फ़ हिटलर	था	एक जर्मन शासक
लड़ाई	चली गई	विवादित प्रदेशों से भी परे
भारत	घोषणा कर दी	युद्ध की
राजनीति	कर दिया गया है	हाल के इतिहास में विभिन्न चुनावों में
स्वामी विवेकानन्द	हो गया था	पश्चिमी आध्यात्मिकता के साथ परिचित
लिनोलेनिक अम्ल	कहा	जाता है
पश्चिमी पाकिस्तान	नियंत्रित करता है	लगभग 35 भूमि क्षेत्र को
सोवियत रूस	की	ने फ्रांस और इंग्लैंड के साथ एक आपसी सहयोग संधि
गोपा	का सुप्रबुद्ध पुत्री है	गौतम बुद्ध
वाला खमीर संक्रमण	उपयोग करने	क्लोट्रिमाज़ोल
सुभाष चन्द्र बोस	की	कारागृह में
कुष्ठरोग	है	पांच वर्षों की अवधि तक रहने वाला एक दीर्घकालिक रोग
नदीन गोर्डिमर	संघर्ष किया	ने साहित्य में नोबेल पुरस्कार प्राप्त कथाकार का
शब्द	कहते हैं	अज़ान
मॉस्को	मांग की थी	ने 2.9 बिलियन डॉलर की
शब्द	का अर्थ	जल्दी-जल्दी साँस लेना'या'साँस लेने के लिए जोर लगाना
सम्मोहन	नहीं रही हैं	अन्य पूर्वी देशों में
नए प्रधानमंत्री लाल बहादुर शास्त्री	बनाने में निर्णायक रहे	प्रधानमंत्री
अनेग्जीमेण्डर	उल्लेख किया	ब्रह्माण्ड उत्पत्ति का सिद्धांत और नक्षत्रों का
मैसूर राज्य	रहा है	भारत गणराज्य के सूचना प्रौद्योगिकी निर्यातों का अग्रणी स्रोत
विराट कोहली	खेल रहा हूं	मुश्किल विकेट पर
श्रेणी:भारतीय संस्कृति	श्रेणी	मानवशास्त्र
भारत देश	है	शेष विश्व के समृद्धतम देशों में से
मुसलमान	मानते	हैं
राधिका आप्टे	हैं	एक भारतीय अभिनेत्री
एडोल्फ़ हिटलर	घटा कर	अधिक वेतन वाले पदों का वेतन
72,26,000 मुसलमान	छोड़कर	भारत की
स्वामी विवेकानन्द	जन्म	12 जनवरी 1863
भारतीय राजनेता	बनकर	शुतुरमुर्ग
स्वामी विवेकानन्द	नहीं थे	सैद्धान्तिक शिक्षा के पक्ष में
शब्द	उधार लिया	नई फारसी से
जयप्रकाश नारायण गाँधी	लड़ीं	चुनाव
टीपू सुल्तान	सुपुर्द किया	ने लार्ड कार्नवालिस को
पोम्पेइ नगर	है	दोनो प्रकृतिक और कृत्रिम ताकतों का विषय
राष्ट्र	संपन्न	परमाणु शक्ति से
बहरीन की	है	में एक मूल ईसाई समुदाय
भारत के कर्नाटक राज्य में स्थित यह नगर	शामिल किया गया है	यूनेस्को के विश्व के विरासत स्थलों में
जर्मन वैज्ञानिक डॉ. रॉबर्ट कोच	ने यह सिद्ध कर दीया	कि कई रोग सूक्ष्मजीवों के कारण होते हैं
विश्वमारी	है	एक वैश्विक प्रकोप
प्रक्रिया	नामक	अनुवाद
कार्ल मार्क्स	लिखकर डॉक्टरेट की उपाधि प्राप्त की	दिमॉक्रितस और एपीक्यूरस के प्राकृतिक दर्शन पर शोध-प्रबंध
पीला रंग	सीधे	बाल
सामाजिक मीडिया	उद्धृत	विभिन्न द्वारा
भारत	हस्ताक्षर किए गए थे	तनाव और simmered के बीच
खतना	प्रतिनिधित्व करता है	एक समूह के प्रति व्यक्ति की प्रतिबद्धता के संकेत का
एसिटिक अम्ल	बनाता	है और हाइड्रोजन गैस बनाता है और धातु लवण
हिंदू धर्म	हैं	में चार मुख्य सम्प्रदाय
विराट कोहली	जवाब दिया	ने कोहली की आलोचना का
1979 में स्थापित इस संग्रहालय	आते हैं	बड़ी संख्या में प्रवासी पक्षी
अनिल कपूर	कोशिश की	में टॉलीवुड में अभिनय करने की
मस्तिष्क ज्वर	हो सकता है	कई गैर-संक्रमण कारणों से
एडोल्फ़ हिटलर	बुलंद किया	ने साम्यवाद की विकल्प में राष्ट्रीय समाजवाद का नारा
लार	भरने में मदद कर सकती है	कुछ प्रजातियों में घाव
पुणे	विकसित होने वाला शहर है	भारत का सबसे तेज
दमा	भड़कता है	एलर्जिक और गैर-एलर्जीवाली स्थितियों के मेल से
आधुनिक समय के बेलारूस	में	कई नदियाँ और लगभग 11,000 झीलें मौजूद हैं
न्यू होरिजोंस यान	दिखाई देता है	शनि बृहस्पति से उज्जवल
सुन्नी इस्लाम	हैं	में सुन्नी इस्लाम के 5 स्तंभ
एरॉन श्वार्ट्ज	डाली	सोशल न्यूज वेबसाइट रेडिट की नींव
बहरीन की	बांटा गया है	पांच राज्यपालों में
गौतम बुद्ध	प्राप्ति की थी	ने ज्ञान की
लक्षद्वीप	आता है	केरल उच्च न्यायालय के अधिकार क्षेत्र के अन्तर्गत
ब्रिटेन	सफल हो गए	सन् 1803-1815 के दौरान हुए नेपोलियन युद्धों में
लिसूतू या लेसोथो ( अंग्रेजी और सिसोथो	उच्चारण	लिसूतू
खतना	है	कुछ धार्मिक विश्वासों की पारिभाषिक विशेषता
प्रकृति	है	मनुष्य के साथ साक्षात्कार करती
स्काइपकास्ट्स	शामिल कर लिया था	ने लगभग 40 मिलियन ग्राहकों को
नीरो	आरंभ किया	ने रोम नगर के पुनर्निमणि का कार्य
मेक्सिको नगर	बसे हुए थे	८९ लाख लोग
नेल्सन रोलीह्लला मंडेला	थे	95 वर्ष के
एडोल्फ़ हिटलर	भर्ती हो गए	जर्मन सेना में
साइमन कमीशन	आया	स्वतंत्र भारत
मोहम्मद हामिद अंसारी	जन्म	1961 में
भगवान शिव	छोड़कर चले गए	वाराणसी के अन्य देवताओं को
बाथ पार्टी के नए शासक सद्दाम हुसैन	ने	1980 में एक युद्ध घोषित कर दिया
सुभाष चन्द्र बोस	बन गए	आज़ाद हिन्द फौज प्रधान सेनापति
सुभाष चन्द्र बोस	जन्म	23 जनवरी 1897
नील एल्डन आर्मस्ट्रांग	खिसकाने का अनुरोध किया	ने विश्राम और पहले
ईश्वर	प्रदान करता है	जीवों को जीवों कर्मों के अनुसार सुख-दुख
इस शब्द	है	आतंकवाद के बीच एक महत्वपूर्ण अंतर
पूर्व जम्मू और कश्मीर रियासत	चला गया	अफ़ग़ानिस्तान के अहमद शाह अब्दाली के हाथों में
पुणे	रहा	ऐसे विभिन्न राजवंशो का अंग
टीपू सुल्तान	थे	अत्याधिक महत्वाकाँक्षी कुशल सेनापति और चतुर कूटनीतिज्ञ
राधिका आप्टे	काम करती हैं	मुख्य रूप से हिंदी फिल्मों में
मलावी गणराज्य	है	दक्षिणपूर्व अफ्रीका में स्थित एक लैंडलॉक देश
तमिलनाडु के चोल शासकों ने	राज किया	मैसूर राज्य
जिंक ऑक्साइड	है	एक सफेद रंग का चूर्ण
ब्रह्मा	कहा	ऋषियों को भगवान विष्णु से संपर्क करने को
विराट कोहली	छोड़ने के लिए कहा	ने भारतीय क्रिकेट टीम के
इस्लाम	का प्रादुर्भाव हुआ	सातवीं शताब्दी के आसपास मुस्लिमों के आगमन के साथ
SARS‐CoV‐2 नामक [[विषाणु	उत्पन्न करने वाले	कोरोनावायरस रोग 2019
नील एल्डन आर्मस्ट्रांग	मिले	को कई पुरस्कार और सम्मान
बीमा	दिलाता है	व्यक्तियों को अनिश्चितता से ही मुक्ति
फूलन देवी	बलात्कार किया गया	तीन सप्ताह की अवधि में कई पुरुषों द्वारा
एडोल्फ़ हिटलर	ने	जर्मन सांद् को भंग कर दिया
टीपू सुल्तान	ने	आक्रोश और दु:ख व्यक्त किया
इण्डिया गेट	बनाया गया था	सन् १९३१ में
जोज़ेफ़ प्रीस्टलि	हो गए	लीड्ज़ में एक गिरजा के पादरी
मानव लार	उत्पादित	स्त्राव ग्रंथियों में
सांसद	होते हैं	यांग बेरहोरामत
स्काइपकास्ट्स	संचालित	करता था
एक शहर	निभाता है	एक बड़े राजनीतिक संदर्भ में भूमिका
एसिटिक अम्ल	एक साथ इस्तेमाल किए गए	वैश्विक स्तर पर इन सभी अनुप्रयोगों में
मलावी गणराज्य	विभक्त है	तीन प्रांतों में
बिभाजन	हुआ	१९१२
उत्तरी अमेरिका की पहले निवासी	पलायन करने वाले बेरिंग-भूमि पुल के माध्यम से पहुंचे	साइबेरिया
अर्देशिर ईरानी	भी थे	तमिल फिल्म कालिदास के निर्माता
आतंकवाद	कहते हैं	ऐसे कार्यों को
भारत देश	आ गया है	सबसे तेज़ी से विकासशील राष्ट्रों की सूची में
दाब	आम तौर पर बढ़ा होता है	बैक्टीरिया जनित मस्तिष्क ज्वर में
उमर बिन खत्ताब	खलीफा बनाया गया	अबु बक़र के बाद
हैदर अली	के सेनापति हैं	मैसूर साम्राज्य
पूरे जर्मनी	हो गया	फिर से एक
गौतम बुद्ध	धारण किया	प्रव्राज्या के उपयुक्त वेश
भारत	निकालने का प्रयास कर रहा था	विनाशकारी युद्ध भारत से उबरने
