希腊语	来源	自 希腊语
欧盟	接受	约翰逊 提出 的 方案
数据	提供	非 政府 组织
恩智 浦 半 導體	包括	債務 在 内
较大 的 雕像	被 作 为 礼物 送往	美国
世界 排名 已跌 至 286 名 的 林丹	未能 实现	五 连冠
马赛 城市	被 看作	艾克斯 - 马赛 城市 圈 的 一 部分
教宗 若望 · 保祿 二世	的 总统	弗朗索瓦 · 密特朗
空气 中 加热	会 变	黄色
英国	採用	英镑
的 計劃	出資	政府
世界	依次 破坏	由 火 、 水 、 风 三 大灾
班 加罗尔	海拔	超过 三千 英 尺
17 岁 的 尼祿	决定	自殺
香港	举办	第五 届 东亚 运 动会
李 维汉	死於	莫斯科
美国	参見	美国 的 法语
詹姆斯 · 瓦特	接受	很多 苏格兰 民间 传说 与 故事
女性	取得	投票 权
普查 人员	违 规地 使用	铅笔
先知 穆罕默德	让	所有 部族 的 长老 将 黑石 放置 在 斗蓬
马赛 城市	被 撤销	一 度
选民	没有 参加	投票
香港	有	140万 人 感染
雕塑	界	于 圆雕 和 浮雕 之间
马里奥 · 郭默	是	纽约
欧洲	也 开始 推動	欧洲 一 体化 的 目标
迈索尔	位	于 伽蒙迪 神山 山麓
这	使得	卡尔 · 马克思
其中	包括	新 的 开始 菜 单 以及 窗口 化 Modern 应用
男性	为	67.23%
林丹	缠斗	以 拉吊 四 方球 、 网前 小球
亚伯拉罕 · 林肯	得 交 给	父亲
纽约	被 誉	为 世界 第一 大 城市
烷烃 的 作用	主要 是 做	燃料
细菌	是	一 部分 腐敗 海藻 中 常 见
甘武 者	音譯	柬埔寨
其他 8 个 元素	未 提及	汞
印度	传播	到 整個 印度
杰伊瑟尔梅尔	译	贾 沙梅尔 、 斋 沙默尔
英国	加入	欧洲 联盟
冬天 的 巴黎	排名	在 2014 年 全球 城市 排名
冬天 的 巴黎	扩张	从 12 个 区
研究	进	一 步
香港	开始	出现 轻微 的 货币 膨脹
冬天 的 巴黎	获得	解放
首相 东姑 阿都拉曼	下令 将	新加坡 共和 国
精子	汇入	精液
伊朗	为 主	以什叶 派 穆斯林
知识	学习	学生 在 课堂 上
美国	曾 派遣 第七 艘 舰到 孟加拉 湾 戒備 警告	印度 不要 利用 东
英国 政府	成 为	中非 联邦 一 部分
世界	在 争论	取名 应
巴西 人	占领	乌拉圭
英国	退出	欧盟
今天 的 浦那	座落	在 孟買東 南方约 100 公里
印度	推出	第一 阶段 疫苗 接種 計劃
庞贝	或 译	庞培 的 街道
警察	不是 放下	武器
电话	使用	者 拨打 的
毛 里求斯 本岛	有	220 条 公车 路 线 和 900多 个 公车 站牌
面积	是	世界 上 最大 的 半島
Adobe Flash	是	网络 上多 媒体 内容 的 主要 建构 平台
香港	应付	逆境
圣索菲亚 大 教堂	被 改建	为 清真 寺
香港	出现	轻微 的 货币 膨胀
其中	获得	最多 好评
Sputnik V 疫苗	研发	俄罗斯
苏联 红军	攻入	德国 柏林
这	巩固	蔡 英 文 的 领導 地位
推迟 脱欧 請求	提出	英国
美国	海軍 曾	以 康涅狄格 州
巴黎	遭到 襲击	公元 1348 年
高盧 地区 的 居民	已经 不能 理解	拉丁语
斯洛伐克	倾向	法西斯 主义
这	反映	该城 为 这 一 区域 中 的 唯一 主要 城市
今天 的 浦那	是	印度 陆军 南方 司令 部 的 总部
中国 公民	离开	中国
现代 加拿大	有	9 位 太空 人 曾 进入 太空
巴拉圭	排名	全球 第98
佛教	认为	九 次 第定 中 皆是 无 欲 界 漏定
安卡拉	收入	超过 85%
冬天 的 巴黎	迅速 发展	在 战 间期 文化 及 艺术
这	将 危及	卫生 工作 者
奥 父	返回	印度
8 成 以上 居民	从事	农业
政府	开征	增值 税
通用 拉丁 语	使用	之
马克斯 · 玻恩	跟 随他 定居	英国
新加坡 政府	始得	以 自由 主导 经 济 发展 方向
这 个 名字	改成	哥本哈根
公司	名	软 体 发展 实驗室
德国	占领	西南 非洲 沿海 地区
这	可能 会 導致	不利 的 健康 影响
微软 公司	发布	Windows 95 与 Windows 98 两 个 版本
冬天 的 巴黎	是	世界 上 最 古老 的 城市 之 一
这	是	首次 报導 脑 膜 炎与 细菌 感染 相关
战争	导致	该 地区 损失 的 金額, 高达 6亿 美
香港	将 享有	高度 自治 权
动物 遗骸	形成	石油
1993 年 11 月 17	受 邀访 问	中国
政府	也 一直	严厉 管控 性 压迫 犯罪
印度	抵挡	住 克什米尔 解放 军 的 进攻
现代 加拿大	建造	加拿大 臂
毛里求斯	是	英 女王 伊丽莎白 二世
电影	预計	耗資 $ 15,000,000 美
硝酸	需以 深色 玻璃 瓶 盛装 避免	受到 光照 反應 释出 有毒 的 NO
法國 歌手 雷诺 · 塞尚发明 的 黑話	将	巴黎
美国 政府	重建	白宮
今天 的 浦那	有	一 个 火车 站
尼泊尔	达到	统一
马赛 城市	举办	两 度
Windows 10	重视	不同 设备 之间 的 同步
英國	正式 離开	欧盟 单 一 市 场及 关税 同盟
林丹	败	在 队友 陈 金拍
公民	投票 以 99.8% 赞成 通过 脱 离	埃塞俄比亚
今天 的 浦那	开始 吸引	外国 资本
女性	不能 照顾	男性
该片	获得	三 项 奥斯卡 奖 提名
一 个 道德 规 范	需要	法律
庞贝	或 译	庞培 为 意大利 重要 的 旅游 城镇
穆斯林	不 进入	其环 形空 间内
印度	建立	1895 年
唾液	可以 潤湿	食物 并 帮助 形成 食团
硝酸	会 引起	严重 烧伤
分子	呈	平面 结构
穆罕默德 二世	修缮 了 该城 的 基础 设施 开始	建造 大 巴扎
毛 里求斯 本岛	有	119 种 鸟类
法语	成 为	法律 和 行政 上 的 官方 语言
乾癣	不 直接 影响	生命
英国	继续 留	在 欧盟 关税 同盟 欧盟 关税 同盟
臭氧	是	氧气 ( O ) 的 同素 异 形体
马赛 城市	有 所 下降	自 21 世纪 10
黑天	是	最 重要 的 神祇
此	有	Al- Farooq
60 印度 共和	通称	印度
Windows 10	位 列	在 所有 Windows
Codes Board	是	澳大利亚
大约 十分 之 一 的 居民	擁有	汽车
比利时	将 不針 对 当代 政治 主题 发表	相关 意見
现代 加拿大	是	人口 增长 率 最快 的 国家
林 奈从 欧洲	回到	瑞典
犹太 会堂	建	今天 的 浦那
政府	支持	由 苏联 或 古巴
房屋 的 管路 系统	已 经证 存在	细菌
世界	是	由 极微 构成, 不由 神造
纳粹 德国	开始 尝试	在 欧洲 建立 一 个 帝國
沃尔玛	公司	在 北美 以外 的 投资 的 业务
手	建造	摧毁 而 非
的 边界	靠近	中国
阿克巴 大帝 的	结成	与 拉其普特 人
疫苗	接种	阿斯利康 制药
原子	拥有	同一 原子 序数
古巴	接種	主权 2 号 疫苗
新加坡 共和 国	拥有	数项 表现 突出 的 产业
冬天 的 巴黎	恢復	首都 的 地位
一些 穆斯林 所 说 的 六 功	就是 加上	吉哈德
乙炔	俗称	电石 气
政府	进行 禁止	向 有 可能 的 经济 活动 課税 或
穆阿迈尔 · 卡扎菲 领导 下 的 利比亚	擁 有	19300 公里 的 道路 长度
西方 化学	传入	中国
摩纳哥	不是	欧洲 联盟 成员
毛 里求斯 本岛	是	世界 上 上 空气 质量 最好 的 国家 之 一
南下 惩罚	倒向	英国
今天 的 浦那	举办	一 次 马拉松 赛跑
今天 的 浦那	写	在 英 语 文書 裏常
现代 加拿大	有	35,151,728 名 居民
穆斯林	无力 攻取	麦地那
伊斯坦堡	排名	第三
科威特	拥有	丰富 石油 资源
的 古来氏 部族	属	先知 穆罕默德
能量	formula	1
细菌	分解	有 机物
其餘 的 苏联 加盟 共和	也 在 1991 年 陸續 宣布	独立
电子	应 该会 丧失	能量
太子 晃下	尊崇	佛教
这	代佔	人 类 整體 历史 的 99% 以上
印度	教基	於 一 种 独有 的 知识 或 哲學 观点
政府	可直 接交	換 意見
庞贝	建立	于 西元 前 600 年 左右
巴巴罗萨 行动	入侵	苏联
美国	直接 干预	利比亚
中国	加入	了 世界 贸易 组织
英国	达成	正式 的 互助 协定
法律	存在	于 罗马
武汉 平均 10 度 以下	就 算 有	蝙蝠
麵包	是	最 古老 的 加工 食品 之 一
硼	主要 为化	合物
柬埔寨 王国	通称	柬埔寨
知识	是 属 于	世界 上 所有 人
毛 里求斯 本岛	保持	与 印度 和 西部 及 南部 非洲 的 国家
这	其实 是	两 套 曲集 的 合集
王 太子 查理	围困	冬天 的 巴黎
林丹	开始	在 国际 赛场 上 很少 输球
巴黎	沦陷	6 月 14
苏联	曾 保证	不触 及 盟军 在 西柏林 的 权利
阿那克西曼德	受到	泰勒斯 影响
世界 排名 已跌 至 286 名 的 林丹	登场	2008 年 11 月 的 中国 公开 赛
庞贝	被 保存	得 非 常好
泰勒斯	提出	阿派朗 的 概念
英国	去留	欧盟 公投
欧洲	批准	阿尔巴尼亞 共和 国
克尔白 的 木材	用 以 重建	麦加
德国	选择 支持	佛朗哥 一 方
西班牙	建立	首个 殖民 地 和 一 要塞
土耳其	有	最大 的 硼蘊 含量
乳房	处	于 哺乳 动物 的 胸部 或 腹部
法院	下达	对 貪污
香港	获	誉为 「 华人 娱乐 码 头
政府 的	希望	巴特菲尔德 担任 俄勒冈 地区 的 区长
班 加罗尔	有	明顯 的 干濕 季節
安卡拉	是	土耳其 共和 国 的 首都
地球	而是 持續 地 绕著	太阳
官僚 、 军事 和 警力	執行	法律
其中	无法 再让	使用 者 調整
人体 有害 的 短波 紫 外线	到达	地球
现代 加拿大	成	第三 个 国家
德国	吞并	数 个 德意志 民族 所 居住 的 他国 领土
克尔白	著巡	麦加
毛 里求斯 本岛	发展	由 低 收入 农业 经济
这	才是	生活 的 意义
北 美	位	于 北美 洲 最西 北端
该片	獲得	国 際奖
政府	严禁 使用	地 下水
诗歌	轰动	文坛
旅游 业 和 农 产业	是	廷布
法国 政府	宣布	投降
香港	参加	奥運
这些 天启 的 内容	編成	古兰经
海试 中 印度 船员	参与	其中
最高 法院	可 判定	该法 违宪
政府	处理	疾病
世界 排名 已跌 至 286 名 的 林丹	无疑 是	本土 最 受 欢迎 的 运动 员 之
蒙塔澤里则	批評	政府
印度 尼西 亚 和 马来西亚	含	中国
公司	是	国内 外
墨西哥	入侵	波尔克 总统 的 国家
黑天	成	难陀 夫妇 的 养子
香港	居住	2022 年 排名 第77
政府	逐步 沽售	以 盈富 基金 形式
马赛 城市	闻名	因 当地 温暖 的 气候 和 充足 的 日照
来访 的 法官	调岗	海尔 · 塞拉西 一世
全球 约 10% 的 人口	可能 已 感染	病毒
安卡拉	有	四分 之三 的 人口 从事 该产 业
世界	有	诸天 、 地獄
数学	更 容易 掌握	对 於 专家
氧	原子	序数 为 8
恩圭马 时期 的 赤道 几内亚	是	撒哈拉 以南 非洲 的 发展 中国 家
冬天 的 巴黎	成 为	世界 上 重要 的 观光 与 贸易 中心
所	谓	世界
西班牙	要求	在 非洲 得到 供应 奴隶 的 地方
巴基斯坦	认识	到 巴基斯坦 无法 获得 任何 进展
一 次 集體	到	麦加
硝酸	制备	工业 上
2.8億 人	使用	法语
靛蓝航空	是	亚洲 成长 第二 快 的 低 成本 航空 公司
冬天 的 巴黎	有	7 个 鐵路 车站
硼	有	一半 的 硼用 於 玻璃 纤 维 的 添加 剂
马来西亚 的 李 宗伟	战胜	林丹
细胞	也是	許多 的 基本 单 位
中国	很快 又 陷入	国共 内 战中
美国 政府	关闭	网站
巴基斯坦	为 不 相连	印度 领土
全國	強制 接種	疫苗
这	就是	第一 个 气压 计
己烷	具有	相当 大 的 蒸气 压
Nexus 5	下架	从 谷歌 Play 商店
亚伯拉罕 · 林肯	重回	政治
土耳其	具有	高採 矿 潜力
现代 加拿大	介入	利比亚 内战
新加坡 共和 国	通称	星国 、 星洲 、 新加坡 或 星加坡 第一 大 宗教
美国	重归	独立
杰伊瑟尔梅尔	是	印度 拉贾斯坦 邦 杰 伊瑟尔梅尔 县 的 一 个 城镇
莫罕达斯 · 甘地	主张	独立
continental rotation policy	定为	非洲
统一 的 意大利	已经 结盟	与 普鲁士
南非	成	第一 个 主办 世界 盃 的 非洲 国家
芬兰	仍尽 可能 抵禦	苏 联 政府 入侵
卡達 政府	没有 接受	国际 法院 的 強制 管 辖权
巴基斯坦	决定	停火
国家	陷入	多 年 的 经济 困境
约翰 · 史密斯	的 建立	英国
的 中 世纪 考古 学	出现	英國
石油	出口	大量 石油
穆斯林	不吃 不喝	在 黎明 至 黄 昏期
该国	需要 修改	法律
政府	鼓勵 创造	財富
西南	为	塔吉克斯坦
剧本	有	多 处 修改
弟弟 鄧 墾	評 价	鄧 紹昌
美国 政府	逐漸 牽涉	其中
阿那克西曼德	已经 被 认为	是 提倡 一 元论 哲学 的 米利都学 派 的 代表
冬天 的 巴黎	难得 见到	太阳
软件	是否 被 归类	为 自由 软件
的 債務 違 约	未有	美国
英国 政府	接纳	达勒姆 勋爵 在 报告 中 的 建议
神	居於	宇宙
佛教	有	喘息 之 机
麦加	只 是 卖卖	皮革 、 布疋 与 駱駝 奶油
一些 关于 人权 的 作品	遭到	英国 政府
印度	发展	最快 、 规模 最大 的 有 盈利 的 航空 公司
非 裔 美国 人	遍 佈	全美
南非	通称	纳米比亞
香港	擁有	全球 最 繁忙 的 貨運 港口
硝酸	可以	和 酸发 生酸 鹼中 和 反应
英國	出动	正 规 军 反击
印度 共和 国	超过	日本 和 德国
新加坡 共和 国	通称	星国 、 星洲 、 新加坡 或 星加坡 独立 建国
数学	延展	从古 至 今
中国	死亡	人 数 比 全球 其他 地区 低
该国	需要 修改 法律, 確認	入会 文件
的 「 主权 」及 「 治权	分拆	香港
分子	也 已 成功 经过 X 射 线 衍射 法 测定	变形 电子 密度 图 证明 存在 离域 π键
英国	才 正式 脱离	欧洲 联盟
70% 接受 调查 的 西班牙 孕妇	没有 补充	叶酸
安道尔	使用	欧元
阿夫多	访问	阿根廷
英国	背弃	承诺
美国	驻	布鲁塞尔
阿克巴 大帝 的	采用 严格 的 措施 以 确保	军队 质量 在 较高 水平
中华 人民 共和	大使	美国
詹姆斯 · 瓦特	成功 申请	专利
巴拉圭	为期	六 个 月 之内 战
量子 理论	有	引力
法律	应该 让	每个 人 都 易於 接受
苏联 部队	攻入	柏林
现代 加拿大	是	世界 上 移民 率 最高 的 国家 之 一
政府	决定	将 经济 发展 策略 改为 吸引 外来 投资
巴基斯坦	必须 撤出	所有 巴基斯坦 的 正规 和 非 正 规军
路德维希 · 凡 · 贝多芬	开始 学	钢琴
俄罗斯	已 有 80万 人 接种	卫星 V 疫苗
其中	超过	三 分 之一
香港	为	自由 港
己烷	有	5 种 同分 异 构體
马赛 城市	举办	自 2000
这些 物质 很快 的 合併	形成	原始 月球
香港	蟬联	榜首
特别 是 什葉 派及 苏非 主义 的 穆斯林 权威 人士	分	吉哈德
和平	收服	了 麦加与克尔白
卡達 政府	成 为	英国
政府	有	财政 盈余 和 实行 已久 的 调低 国 债政策
湿婆	去 寻找	一 个 藏身 之 处
詹姆斯 · 瓦特	退休	爱丁堡 皇家 学会 院士
政府	道歉	向 武统 台湾 原住 民族
Windows 10	限制	用户 的 操作
现代 加拿大	有 派遣	军事 力量
黑天	具有	神通
色素	变色	石蕊 中
Windows 10	选择	推荐 设置
石油	生产	阿拉斯加 州 境内
Windows 10	引入	全新 的 「 Game bar
这部 电影	登陆	北 美
臭氧	取代	氯气
马赛 城市	建城	史始 于 公元 前 六 世纪
巴黎	统治	由 「 强者 」 罗 貝 尔来
冬天 的 巴黎	是	法國 的 首都 及 最大 都市
雕塑	是	宗教 崇拜 的 中心
波兰	作曲	斯坦尼斯拉夫 · 莫紐什科
政府	必须 集中 力量 先 处理	房屋 、 衛生 、 教育 和 福利 等 迫切 问题
澳洲 政府	一直 在 推进	全球 贸易 的 自由 化 发展
阿克巴 大帝 的	是	莫卧儿 皇帝 胡马雍 之 子
今天 的 浦那	成	萨达拉 亲王 首相 的 驻地
黑天	厌倦 了 牧场, 就 用 法术 迫使	牧民 迁徙 到 森林 边 放牧
安卡拉	有	47 个 友好 城市 Category
美国	派出	海军 和 陆上 远征 征服 墨西哥 上 加利福尼亚 省
德国	吞并	奥地利
农业	占	GDP 的 18.1%
迈索尔	是	迈索尔 王国 的 首都
至 少 一 人	必须 是	女性
佛教	为	31.1%
城市	有	道路 系统
现代 加拿大	参与	联 合國 每 一 次 维和 行动
穆罕默德	樹立	榜 样
学校	没有 教授	葡萄牙 语
湿婆	发现	加德满 都 山谷
英国	退出	欧盟 公投
巴黎	停止 盲目 扩張 改为 发展	郊区 卫 星城
该 公司	将 免費 提供	Windows 10
俄语	不 再	於 学校
男性	会 少有 一些 减少	在 結紮 后 其性 冲动
这	是	一 个 好 的 方向
以色列 的 新聞 、 網站 及 出版	亦 经常 使用	俄语
的 地理 或 历史 紀錄	有关	麦加
现代 加拿大	是	双 语 国家
马	克思还多 次 参与	争论
巴黎	拓宽	城市 道路
夏季	是	大 暴雨 的 最高 发季 节
高度	都算	树
的 独立 新聞堡 壘	急需	香港
父亲	带	萧伯纳
阿卡耶夫	逃到 哈薩克 最后 到 达	莫斯科
食物	用	大麦 粉製 成
印度 总统	元首	国家
香港	剔除	在 6 月 23
马赛 城市	出现	一 分 为 二 的 局面
德国	没有 提前	知会 德国 与 意大利
巴基斯坦	指控	为 非法 行为
城市	主要 是	美国 电影
安卡拉	成	都 会市
香港	排行	綜合 经 济 競 争力 第二
哈佛 学院 的 当时	没有	Facebook
1	卢	比 理论 上 等 于 100 分
麦加	成 为	一 个 朝聖 之地
城市	是	人类 文明 的 重要 组成 部分
冬天 的 巴黎	是	一 个 国家
这些 粒子 聚合	形成	原始 月球
冬天 的 巴黎	名列	世界 第22
法语	享有	较高 的 社会 地位
乌克兰	增加	天然 气生 产
伊斯兰教	是	一 神教 宗教, 世界 三 大 宗教 之 一
父亲	退休	1895 年
穆阿迈尔 · 卡扎菲 领导 下 的 利比亚	有	外國 基督 徒 的 小 社群
美国	驻	北京 联络 处 主任
苏联	驻	德国 集团 军 伊萬 · 斯捷潘 诺維奇 · 科涅夫
印度 政府	收購	从 农民 手中
所有 设备	运行	Windows 10
硼砂	可用	作水 软化 剂 和 清洁 剂
哥本 哈根	有	非常 多 的 餐館
碎屑	环绕	地球
这	假设	完全 競争 的 情况
农业	占	阿拉斯加经济 的 一 小 部分
这	将 无法 让	英國 真正 脱欧
这	是	錯誤
佛教	不 必受	道录 司 管辖
先知 穆罕默德	清除	麦加 的 克尔白 内 的 壁画
意大利	合作 、 維持	与 国为
冬天 的 巴黎	是	世界 上 人口 密度 最高 的 城市 之
印度	参观	人数 最多 的 古迹 之 一
乙炔	氧化 成	乙醛
研究	投入	- 产出 模型
政府	停摆	多 次
農民	增加	可 种植 的 品种
美国	进攻	伊拉克 共和
国家	必然 会 走	向 消亡
哥本 哈根	有	多 支手 球队
唾液	会 带有	少量 卡路 里
英国	取得	专属 权
家庭	有	星期 天 不 做饭
美国 政府	支持	两方
现代 加拿大	保持	与 荷兰
法语	占 有	一定 地位
香港	有	1,755 人 感染 SARS
林丹	下压	马来西亚 的 李 宗伟
乙酸	则是	一 种 优良 的 溶剂
香港	出出	入境 管制 站 与 深圳 连接
英国	战败	马拉地 帝国 后新 教
穆斯林	可以 选择	穆斯林 穆斯林 穆斯林 们 認可 的 法学 派別
马里	有	一 个 兴盛 的 穆斯林 王國
巴拉圭	被 评	为 “ 世界 上 最 幸福 的 地方
毛 里求斯 本岛	获得	世界 杰出 海岛 旅游 目 的 地
新加坡 共和 国	升格	为 海峡 殖民 地
现代 加拿大	培育	14 位 诺贝尔 奖 得主
詹姆斯 · 瓦特	发展	出马 力 的 概念
巴拉圭	正 在 进行	该 区域 最大 的 经济 扩张
廷布	有	迅速 的 发展
穆罕默德	成 为	穆斯林 社群
父親	负責	家庭 的 財政
俄罗斯	举行	美国 人权 听证 会
这	甚至 不是	一 个 议题
英國	正式 脱離	欧盟
英國	将 成 为 英属	錫兰 的 首都
洛根	被 带入	该 项目
毛 里求斯 本岛	修订	宪法
英国	含糊 的 答应	印度 国民 大会 的 自治
阿道夫 · 希特勒	入侵	波兰
希腊	被 击退	到 阿尔巴尼 亚 地区
现代 加拿大	坚持	独立 的 外交 政策
马赛 城市	成 为	的 首府
南梁 王朝 梁 武帝 蕭衍	提倡 尊崇	佛教
政府	开始 发展	香港 新市 镇
轴心 国	进入	第二 次 世界 大战
树	可以 固定	泥土
詹姆斯 · 瓦特	被 接受	为 英国 皇家 学会 院士
五 大 湖 以北 的 土地	保留 下来	英国
英国	就 使用	原木 来分 配水
父亲	告诉	当卡尔 · 林奈 各 种花 的 名字
中国	有	至 少两 套 元素 命名 方法
英国	接受	科威特 的 独立 宣言
手印	是	说法 印
这 项 研究	未 公开	具体 细节
乳房	会 随著	月经 周期
冬天 的 巴黎	气候	受到 北大 西洋 洋流 的 影响
许多 在 早期	改信	伊斯兰教
美国 宪法	效力	低 于 美国 宪法
地球	会 旋转	一 週
政府	正 努力 在 社会 服务 的 範疇 推动	一 系列 計劃
细菌	亦 可 冲走	附着 在 牙上 的 食物 残渣
苏共 中央 第一 书记 尼基塔 · 赫鲁晓夫	秘密 到	北京
现代 加拿大	奉行	多边 主义
引力	描写	透过 广义 相 对 论
埃瓦里斯特 · 伽罗瓦	发音	法语
