रोम	के योग्य है	शहर
पापुआ न्यू गिनी की सरकार	प्रतिबंध लगाएगी	फेसबुक पर
मुहम्मद के बागे और बैनर	थे	हरे
ग्रेटर लोप नूर	मिलती	पीली नदी में
चार्ल्स - एडुआर्ड जीनरेट	उद्धृत किया	ने ऑस्ट्रियाई वास्तुकार एडॉल्फ लूस को
किर्गिस्तान	स्थान पर था	94वें
इरफान खान	भी नजर आए थे	'ब्लैकमेल' में
माउंट फ़ूजी के शिखर पर	है	टुंड्रा जलवायु
आंध्र प्रदेश सरकार ने	खरीदे	वर्तमान कंपनी के अधिकांश शेयर
कार्ल लिनिअस	समर्थन करने के लिए	एक परिवार का
बांग्लादेश सरकार के	था	पास बांग्लादेश सरकार का पहला परमाणु हथियार
सुभाष चन्द्र बोस	उपयोग करने के लिये टेरीटोरियल आर्मी की परीक्षा दी	खाली समय का
जार्ज बर्नार्ड शा	जोड़ लिया	जेटिकल सोसाइटी से जार्ज बर्नार्ड शा रो
वाले टॉलेमिक साम्राज्य	समाप्त करने	मैसेडोनियन परिवार के शासन को
लड़ाई	प्रयास कर रहा था	विनाशकारी युद्ध भारत से उबरने का
अब्राहम लिंकन	जारी रखी	ने निष्क्रियता
चार्ल्स - एडौर्ड जीनरेट	ने ज्यादातर परहेज किया	राजनीति से
भारत	है	श्रीलंका की सरकार
जॉन ऐडम्स	ने	विषादपूर्ण जीवन व्यतीत करते
सिंगापुर	बन गया	एक स्वतंत्र देश
भारत	अस्वीकार कर दिया	ने पाकिस्तान पर आक्रमण करने की डिक्सन योजना को
जोसेफ प्रिस्टले	ने विशेष रूप	से नई फ्रांसीसी प्रणाली को
मस्तिष्क ज्वर	जनित	बैक्टीरिया
अन्य भारतीय संगीत निर्देशकों के कई हिट फिल्मी गीतों	नकल उतारी	ने नुसरत फतेह अली खान की
संस्कृति	मिलकर बनी है	अनेक पहलुओं से
लिन डैन	(जन्म	14 अक्टूबर 1983) वीबो में अनुयायी हैं
पाकिस्तान सरकार ने	बोझ डाला	अर्थव्यवस्था पर
टाइफाइड बुखार	है	"साल्मोनेला" सीरोटाइप टाइफी बैक्टीरिया के कारण होने वाली बीमारी
टॉलेमी	है	एक प्राचीन यूनानी व्यक्तिगत नाम
का मुख्यालय दिल्ली और पूर्वी कमान	प्रशासन करने के लिए	पंजाब
दो अलग-अलग क्षेत्रों ने	मिला दिया	तंजानिया को
लॉर्ड बायरन	विकृत	पैर
जॉर्ज बर्नार्ड शॉ	ने चर्चा की	कि कैसे विभिन्न कलाकारों ने प्रसिद्ध नाटकों का सामना किया
त्साई इंग-वेन	को ठेका देने वाली	ने ताईमेडबायोलॉजिक्स को काम दिया
ज्यामिति	का तेजी से विस्तार हुआ	19वीं शताब्दी के दौरान
विराट कोहली	को मिली	सफलता
डेमोक्रेटिक प्रोग्रेसिव पार्टी ने	आधिकारिक नामांकित किया	तौर पर त्साई इंग-वेन को
एस्किमो	जारी किया गया	दुनिया भर में
ब्रूस ली	अभिनय किया	ने एक एपिसोड में
स्काईफॉल	कमाई की	ने 25 बाजारों से 80.6 मिलियन डॉलर की
आर्कटुरस	रहा है	पर्यवेक्षकों के लिए
विराट कोहली	आउट हो गए	छह अवसरों पर एकल अंक स्कोर पर
सुभाष चंद्र	पहुंचे	बोस रोम
ब्रूस ली,	के पिता हैं	ली
टीम इंडिया	भाग नहीं लिया	ने उद्घाटन जूनियर कबड्डी विश्व चैम्पियनशिप में
नादिन गोर्डिमर	हो गए	सोफ़ियाटाउन पुनर्जागरण में शामिल
हेनरी कैवेंडिश ने की थी	खोज	हाइड्रोजन की
कोका-कोला कंपनी	पेश किया	ने कोक कार्ड
रोनाल्ड रीगन	प्रभावित किया	ने "वूडू इकोनॉमिक्स" के रूप में भारी कर कटौती की योजनाओं को
ऑस्ट्रेलिया	शामिल हो गया	द्वितीय विश्व युद्ध लड़ने में मित्र राष्ट्रों में
अब्राहम लिंकन	थे	पांच राष्ट्रपतियों में से पहले
मैसूर	था	में उच्चतम बुनियादी ढांचा सूचकांक 2.846
अमेरिकी सरकार	नेतृत्व कर रही है	पश्चिम का
खमेर रूज शासन ने	पुनर्निर्माण का प्रयास किया	कंबोडिया के
लिन डैन	का जन्म 14 अक्टूबर 1983	लिन डैन (जन्म 14 अक्टूबर 1983) को ओलंपिक खिताब
निर्माता एंटोनियो डियाबेली ने	गारंटी दी	लुडविग वैन बीथोवेन की
भारतीय सेना	शुरू करेगी	उग्रवादियों के खिलाफ ऑपरेशन ब्लू स्टार
सैन एंटोनियो शहर है	फैलाता	दक्षिण और मध्य टेक्सास के बीच क्षेत्रीय विभाजन को
इटालियन फासीवादियों के एक शुरुआती प्रशंसक	थे	एडॉल्फ हिटलर
श्रीनिवास रामानुजन् इयंगर	लौटने वाले	पूरे भारत
फ़िनलैंड	आधिकारिक तौर पर फ़िनलैंड गणराज्य	अप्रवासी जनसंख्या
विलियम शेक्सपियर	हैं	आज भी लोकप्रिय
पूर्वी पाकिस्तान	घोषणा करेगा	बांग्लादेश के रूप में स्वतंत्रता की
द सैटेनिक वर्सेज	प्रकाशित हुआ	1988 में
पूर्वी जर्मनी	अनुरूप	पूंजीवादी पश्चिम के
राम	थे	समुद्र तल से पूरी तरह ऊपर
खलीफा अबू बकर	पाठ किया	ने कुरान 20:14 से इन आयतों का
कार्ल फ्रेडरिक गॉस	ने तथाकथित गॉसियन लॉगरिदम की शुरुआत की	व्युत्पन्न विधियों
श्रीनिवास रामानुजन	मना कर दिया	ने इंग्लैंड आने से
बैंगलोर	उत्पन्न करता है	प्रतिदिन लगभग 3,000 टन ठोस कचरा
लॉर्ड बायरन	इनकार कर दिया	ने सितंबर 1803 में हैरो में लौटने से
पुणे	आधारित	संस्करण
स्वामी विवेकानन्द	दिलवायी	ने सनातन धर्म सार्वभौमिक पहचान
वाट	आविष्कार किया	ने भाप के इंजन का
बौद्ध	धर्म का पतन हुआ	जापान में
अगरतला नगर पालिका	है	पूर्वोत्तर भारत के सबसे बड़े शहरों में से एक
लेसोथो	बहाल किए	ने चीन के साथ संबंध
कोका - कोला कंपनी	निर्भर थी	स्मार्ट कपड़े पहने युवतियों की छवियों पर
17 मई 19003 जून 1989	निर्धारित	सलमान रुश्दी
भारत	खारिज कर दिया	ने डिक्सन योजना जनमत संग्रह प्रतिबद्धता को
द वॉशिंगटन पोस्ट	है	का राष्ट्रीय राजनीति पर एक विशेष महत्त्व
मेक्सिको सिटी	बना	न्यू स्पेन की राजधानी
भोजन	लगे	शरीर को
1909	निभाई	ने बैंगलोर के विकास में एक प्रमुख भूमिका
वारिंगटन के बौद्धिक रूप से उत्तेजक माहौल	प्रोत्साहित किया	ने जोसेफ प्रीस्टले को
नवाजुद्दीन सिद्दीकी	(जन्म	19 मई 1974) संघर्ष
खुदा	सुनता	हुआ मदहोश-सा
कुष्ठ	जाना जाता है	रोग को हेन्सन रोग के नाम से
पूर्वी पाकिस्तान	कुचल दिया था	को पाकिस्तानी सेना ने
लुई ब्रेल	था	को शिक्षक सहयोगी के रूप में रहना
बपतिस्मा	की व्याख्या की गई थी	रहस्य धर्मों के संदर्भ में
रूसी संघ ने	प्रोत्साहित किया	संस्कृति और विशेष रूप से साहित्य के विकास को
स्लमडॉग मिलियनेयर	जीते	ने आठ ऑस्कर
फेसबुक	किए	ने कई एंड्रॉइड यूजर्स की प्राइवेसी में सेंध लगाने के लिए ऑटोमेटेड मैसेज
सूर्य को	जाना जाता था	विन्निपेग जेट्स के नाम से
1963	योगदान दिया	ने विलियम जेफरसन क्लिंटन को
तालिबान ने	शुरुआत की	एक आक्रामक
विराट कोहली	का जन्म 5 नवंबर 1988	को चौथा टेस्ट शतक है
नाइट्रिक अम्ल	कहते हैं	नियत क्वथनांक मिश्रण
ब्रूस ली	हारने के बाद	प्रतिद्वंद्वी गिरोह के सदस्यों से
फिलीपीन एयरलाइंस	शुरू करने की योजना बना रही थी	इज़राइल के लिए उड़ानें
अंग्रेजी	पढ़ाई जाती है	अधिकांश यूरोपीय संघ के देशों के साथ-साथ लुइसियाना फ्रेंच में भी
ओ उमर	घुटने टेक दिए	ने खलीफा अबू बकर के आगे
फिलाडेल्फिया	पांचवें स्थान पर है	सार्वजनिक परिवहन अनुकूल श्रेणी में
लुई ब्रेल	अंततः	की दूसरी आँख की रोशनी चली गई
चंद्रगुप्त के मंत्री चाणक्य	ने अपनी गर्भवती पत्नी गला काट दिया	बिन्दुसार का
मध्यम आयु वर्ग के अब्राहम लिंकन ने	स्थापना करके जवाब दिया	मार्शल लॉ की
जॉर्ज हर्बर्ट वॉकर बुश	ने मिखाइल गोर्बाचेव	जर्मन एकीकरण को
हाइड्रोजन सल्फाइड	भी जाना जाता है	ग्लूटाथियोन के स्तर को बढ़ाने के लिए
ओमान	है	मस्कट के गवर्नरेट की सीट
ऑस्ट्रेलिया	है	में समाचार पत्रों, टेलीविजन, इंटरनेट, आगंतुकों या फोन कॉल तक कोई पहुंच नहीं
किर्गिस्तान	को लूटा गया	विरोध प्रदर्शनों के दौरान
पर्वत	अच्छादित	हरे-भरे पेड़-पौधों से
मोहम्मद जमाल	का करीबी कॉलेज मित्र है	ओसामा बिन
थॉमस पेन	वर्णन किया	ने अमेरिकी राष्ट्रपति जॉर्ज वाशिंगटन का
फिलाडेल्फिया	है	संघ के स्वामित्व वाली एमट्रैक प्रणाली का एक क्षेत्रीय केंद्र
जूडी गारलैंड	मना रही हैं	हयानिस पोर्ट में छुट्टियां
प्रथम विश्व युद्ध ने	मजबूर कर दिया	अंग्रेजों को
लिब्रे ऑफिस ऑनलाइन	डाउनलोड किया गया था	को लगभग 7.5 मिलियन बार
गुरु तेग बहादुर	स्थापित करने के लिए	सिख सरकार या स्थिर उत्तराधिकार के लिए एक स्थायी संरचना
जॉन एडम्स	कहा जाता है	को "फ्रांसीसी नौसेना का पिता"
पेरिस शहर को की जाती है	सेवा प्रदान	तीन वाणिज्यिक अंतरराष्ट्रीय हवाई अड्डों द्वारा
काल्पनिक MI6 एजेंट जेम्स बॉन्ड	जुड़ता है	सेवेरिन से
बहरीन का केवल 2.9%	आधिकारिक तौर साम्राज्य	पर बहरीन
इस्लाम	बनाया	ने इस्लाम को राज्य धर्म
पाकिस्तान	प्रशासित किया	ने आजाद कश्मीर को भारत से अलग करके
युद्ध	पहुँच गया	वियना
खतना	जुड़ा हुआ	कैंसर के कम प्रसार के साथ
स्पेन	हो सकता है	अधिक सक्रिय
प्लेटो	प्रसिद्ध है	के लिए
निअंडरथल मानव	रहता था	पश्चिम यूरोप, पश्चिम एशिया तथा अफ्रीका में
पाकिस्तान	शामिल करने वाला	धर्म की स्वतंत्रता को
सुभाष चन्द्र बोस	चाहा	पहले रूसी दूतावास में प्रवेश पाना
सिएम रीप प्रांत में अंगकोर वाट ऐतिहासिक पार्क	है	इन संरचनाओं में सबसे प्रसिद्ध
पूजा का सबसे महत्वपूर्ण रूप	है	भक्ति
जर्मनी के कब्जे वाले इटली	अर्जित किए थे	ने युद्ध के बाद कुछ क्षेत्रीय लाभ
बौद्ध	है	धर्म नॉर्डिक देशों के लिए
अनिल कपूर	थे	भी उतने ही प्रभावशाली
लीबिया	था	संयुक्त राष्ट्र द्वारा प्रतिबंधों के अधीन
कतर	मेजबानी की	ने महिला टेनिस में डब्ल्यूटीए टूर चैंपियनशिप की
कैथे पैसिफिक	का अधिग्रहण किया	ने फिलीपीन एयरलाइंस
सोहो फाउंड्री वाट ने	सूचित किया	इन परिणामों के बारे में जेम्स मैकग्रिगोर को
पुलिस	मानकर जांच करेगी	आग को आतंकवादी हमला
जवाहरलाल नेहरू	अनुरोध किया	ने शेख अब्दुल्ला से
नाइट्रिक एसिड	आमतौर भी प्रयोग किया जाता है	पर एक मजबूत ऑक्सीकरण एजेंट के रूप में
ऑस्ट्रेलिया	जीते	ने दस में से नौ टेस्ट
एडॉल्फ हिटलर	योजना बनाई	ने 1 अक्टूबर 1938 के लिए
अंकारा	वास्तव	में बहुत बड़ा
É वरिस्टे गैलोइस	विफल रहा	फिर से
के उपयोगकर्ता	लिखते हैं	हिब्रू
ZnO	है	एक सफेद पाउडर
एआर रहमान	योजना बनाई	ने "स्लमडॉग मिलियनेयर" की
स्काईफॉल	जारी किया गया था	उत्तरी अमेरिका में
स्वामी विवेकानंद	प्राप्त की	ने महासमाधि
कृष्ण	ने देवी राधा के गांव	राधा और गोपियों और गोपियों का पुन:
कार्ल फ्रेडरिक	चले गए	गॉस मिसौरी
नेल्सन रोलीह्लला मंडेला	थे	दक्षिण अफ्रीका के प्रथम अश्वेत भूतपूर्व राष्ट्रपति
विंडोज 11	जारी किया गया था	को 5 अक्टूबर, 2021 को
हारून हिलेल स्वार्ट्ज	काम करना जारी रखेंगे	एक अन्य नवजात वाई-कॉम्बिनेटर फर्म पर
मिराबिलिस जालपा शुष्क	का मूल निवासी है	उष्णकटिबंधीय क्षेत्रों
फिजी राष्ट्रीय रग्बी लीग टीम ने	जीती	फिजी
संयुक्त राज्य सरकार	योजना बनाती है	प्राथमिकता समूहों
जम्मू और कश्मीर राज्य सरकार ने	से इनकार कर दिया	पाकिस्तान प्रशासित आज़ाद कश्मीर में दुर्व्यवहार के अपराधियों के खिलाफ मुकदमा चलाने
नादिन गोर्डिमर	पहचाने जाते हैं	एक लेखक के रूप में
निश्चित ही कलाकृतियाँ	हैं	उपकरण
खतने	सलाह दी जाती है	की
जयप्रकाश नारायण गाँधी	बैठीं	विश्व-भारती विश्वविद्यालय ऑक्सफोर्ड विश्वविद्यालय की प्रवेश परीक्षा में
ब्रूस ली	हैं	अब तक के सबसे प्रभावशाली मार्शल कलाकार
पूर्व राष्ट्रपति बराक ओबामा	का नाम	ने जोसेफ रॉबिनेट बिडेन
लक्ज़मबर्ग - आधारित स्काइप टेक्नोलॉजीज एसए	हो सकते हैं	के पिछले दरवाजे
शून्य	नहीं माना जाता था	को एक संख्या के रूप में
नरसामपेट राजस्व प्रभाग	का राजस्व प्रभाग है	वारंगल
ईदी अमीन	के राष्ट्रपति हैं	युगांडा
पश्चिमी पाकिस्तान	परेशान कर रखा है	ने दुनिया के कई मुल्कों को
कार्ल फ्रेडरिक गॉस	विरोध किया	ने नेपोलियन का
ओसामा बिन लादेन	बात नहीं कर सकता	इंटरनेट पर
शंघाई	था	चू के लॉर्ड चुन्शेन की जागीर का हिस्सा
लकड़ी	है	हल्की होती
16 करोड़ लोग	मानते हैं	रूसी भाषा
खतना	धर्मांतरित होने के	इस्लाम में
वियतनाम	भी कहा जाता है	को "पूर्व का पेरिस"
सुभाष चन्द्र बोस	मृत्यु हो गई	की कारागृह में
जॉन एडम्स	ने विरोध नहीं किया	ओलिव ब्रांच याचिका सहित विभिन्न प्रयासों का
विषाणु	नामक	एचआईवी
माओत्से तुंग	गया था	उग्रवादी समर्थक सोवियत पार्टी के नेताओं की उपलब्धियों के द्वारा किया
प्रथम महिला नैन्सी रीगन	पूरा किया	ने 1981 में
अगरतला नगर पालिका	साझा करती	अन्य भारतीय राज्यों के साथ
भारतीय राष्ट्रीय कांग्रेस	घटकर	153 सीटों में
नासा / ईएसए	बढ़ने की योजना बनाई	ने केवल एक यूरोपीय मिशन के साथ आगे
कृष्णा नदी	नहीं बहती है	तमिलनाडु
ई वैरिस्टे गैल्वा	थे	एक कट्टर गणतंत्रवादी
कार्ल लिनिअस	छोड़ दिया	स्वीडन लौटने के लिए
राधा (या राधिका	का होना	कृष्ण
रहा	यात्रा कर	अरबिंदो घोष
लाल	है	सबसे सक्रिय रंग
सलमान रुश्दी	का जन्म	ब्रिटिश लेखक सुधार योजना
श्रीनिवास रामानुजन	जन्म श्रीनिवास रामानुजन अयंगर	22 दिसंबर 188726 अप्रैल 1920) जन्मदिन
चार्ल्स - एडौर्ड जीनरेट	खोज की	ने न्यूयॉर्क शहर में गगनचुंबी इमारतों की
उसी वर्ष	हुई	"कसम" रिलीज़
बॉम्बे	संसाधित किया गया था	को लंदन में
चपड़ा	रहता है	चिपचिपा
श्रीनिवास रामानुजन	प्राप्त किया	ने एक मित्र से
लिमोनिया एसिडिसिमा	है	को इंडोचाइना और मालेसिया में जाना
खतना	कम करता है	नए एचपीवी संक्रमण की दर को
कार्ल फ्रेडरिक गॉस	पेश की	ने तथाकथित गॉसियन लघुगणक व्यक्तिगत डायरी
जॉर्ज बर्नार्ड शॉ	थे	एक प्रमुख अग्रदूत
अर्जुन चरित्र	का राजकुमार है	पांडवों
अब्राहम लिंकन	आठवें स्थान पर रहे	13 उम्मीदवारों में से
लुडविग वैन बीथोवेन	लिखी	ने आंतरिक और बाहरी शांति के लिए याचिका
मुसलमान	जाप करें	बासमाला और तकबीर का
लुइसियाना फ्रेंच	बोली जाती है	सभी शिक्षित हाईटियन द्वारा
निर्मला	18 अगस्त 1959 को जन्मीं	सीतारमण हैबिटेट में सेल्सपर्सन के तौर पर काम करती थीं
अल्बानिया	है	दक्षिणी बाल्कन में 8वां सबसे अधिक आबादी वाला देश
क्वालकॉम	स्थान पर है	2019 में 2,127 आवेदनों के साथ चौथे
रॉबर्ट जे मैकमोहन	के इतिहासकार हैं	शीत युद्ध
एमनेस्टी इंटरनेशनल	है	का मानवाधिकार दिवस
फिलीपीन एयरलाइंस	को ऐतिहासिक	रूप से फिलीपीन एयर लाइन्स के रूप में
आलोक पशुपतिनाथ का मंदिर	है	पशुपति को समर्पित एक हिंदू मंदिर
